name,run_time,spearman_avg,spearman_var,spearman_med,mae_avg,mae_var,mae_med
m1_val_mlp_1e-08_alpha_identity_activation_hidden_layers_10,776.5332748889923,0.78666376197812304,0.052560149890164741,0.85963960052105948,14.834932972765136,48.534932957638304,13.60500901068356
m1_val_mlp_1e-07_alpha_identity_activation_hidden_layers_10,790.1141719818115,0.77559184268286163,0.061173253963968797,0.85600303951367784,15.646727947946857,65.066158238195399,14.190653530815103
m1_val_mlp_1e-06_alpha_identity_activation_hidden_layers_10,808.6338691711426,0.78123992529101449,0.054643267591422628,0.8560573165436387,15.546885294344571,50.508407180566032,14.542868127952653
m1_val_mlp_1e-05_alpha_identity_activation_hidden_layers_10,792.4992191791534,0.78117776693889496,0.054575253609234119,0.85660008684324795,15.423583501432336,68.551632734628285,14.180953773321185
m1_val_mlp_0.0001_alpha_identity_activation_hidden_layers_10,784.8715460300446,0.78348803526073818,0.0529891408907808,0.85676291793313064,15.224480384579421,50.163297354777136,14.028151146955691
m1_val_mlp_0.001_alpha_identity_activation_hidden_layers_10,804.232433795929,0.78367064400811326,0.050744412641221141,0.85497177594442031,15.534767810009136,79.784321624331469,13.702985468694868
m1_val_mlp_0.01_alpha_identity_activation_hidden_layers_10,799.7966191768646,0.778928169927254,0.058969363995087759,0.86191923577941809,15.145089096284996,51.381416393784299,13.930169515087064
m1_val_mlp_0.1_alpha_identity_activation_hidden_layers_10,795.4661419391632,0.77837320588392744,0.058859775051854885,0.85714285714285721,15.387173625567236,67.508194330103095,13.83083157206503
m1_val_mlp_1_alpha_identity_activation_hidden_layers_10,792.7525069713593,0.7766232549563109,0.057124462692891537,0.8543747286148502,15.603912632042876,75.183267097323224,14.083922847471648
m1_val_mlp_10_alpha_identity_activation_hidden_layers_10,778.1629559993744,0.78354811175417427,0.052228507990579029,0.85708858011289624,15.104485233464722,48.093831239256744,13.673468952850344
m1_val_mlp_100_alpha_identity_activation_hidden_layers_10,798.6529619693756,0.78002679649533979,0.058400511764825969,0.85681719496309161,15.428108689130031,62.288604694447237,13.996646809494811
m1_val_mlp_1000_alpha_identity_activation_hidden_layers_10,783.0937178134918,0.7844873274287858,0.05501103306963942,0.86208206686930089,15.219456648860305,66.045105333492117,13.804749676232726
m1_val_mlp_10000_alpha_identity_activation_hidden_layers_10,846.4852809906006,0.78277484995747082,0.065191244813515389,0.86067086409031701,15.219685408729905,63.3398617447425,14.062021508875981
m1_val_mlp_100000_alpha_identity_activation_hidden_layers_10,1341.0806419849396,0.80610772726461488,0.056048436764101851,0.88639817629179329,15.161072709142855,64.807333900427764,13.767862258915509
m1_val_mlp_1000000_alpha_identity_activation_hidden_layers_10,1162.6844429969788,0.80209122704750779,0.053743044170533452,0.88031914893617025,15.906520604798347,55.799633027489016,14.900616407358056
m1_val_mlp_10000000_alpha_identity_activation_hidden_layers_10,1299.8664181232452,0.78904540831196912,0.057476237649087138,0.86566435084672166,15.918890723155522,40.028995939277394,15.610802308611957
m1_val_mlp_1e-08_alpha_logistic_activation_hidden_layers_10,1490.5619461536407,-0.58797548165287616,0.18295848486283436,-0.75917281806339565,22.893356546737902,114.22318491374935,21.012918685933354
m1_val_mlp_1e-07_alpha_logistic_activation_hidden_layers_10,1500.055653810501,-0.52345392251916756,0.24854738676124727,-0.74457229700390792,22.82443143828689,108.83642957894487,20.728278047604171
m1_val_mlp_1e-06_alpha_logistic_activation_hidden_layers_10,1355.0125939846039,-0.44231452126172488,0.2977906714038458,-0.68899261832392522,23.296946344948651,101.62567209863423,21.227701458233629
m1_val_mlp_1e-05_alpha_logistic_activation_hidden_layers_10,1155.6128470897675,-0.41611031471755083,0.28756429697329616,-0.69621146330872774,22.332645369078367,74.232699834350996,20.970256732331038
m1_val_mlp_0.0001_alpha_logistic_activation_hidden_layers_10,1145.714420080185,-0.23082756856750275,0.36894371073892557,-0.57061441597915752,22.722493999928268,76.031402419607346,22.024393191084204
m1_val_mlp_0.001_alpha_logistic_activation_hidden_layers_10,1157.271651983261,-0.21892082394018519,0.40669152456479835,-0.61723838471558845,22.56970146473012,76.483420845183915,21.642642238629463
m1_val_mlp_0.01_alpha_logistic_activation_hidden_layers_10,1109.7222740650177,-0.085134339366758086,0.47970927216672649,-0.28110073816760739,23.289321177964588,72.048164269353975,23.329780268338979
m1_val_mlp_0.1_alpha_logistic_activation_hidden_layers_10,1067.5827841758728,0.037008458294422383,0.54374820789897771,0.11186495874945723,24.407987200987588,72.427342140707538,24.063050406546235
m1_val_mlp_1_alpha_logistic_activation_hidden_layers_10,972.8479170799255,0.37517933725515862,0.48619283084174686,0.78538862353452021,26.447033863842233,63.914902988076626,26.218912214194194
m1_val_mlp_10_alpha_logistic_activation_hidden_layers_10,921.2517068386078,0.59053557301673243,0.29651897211376266,0.84531046461137649,26.85338899070258,58.419067674730897,26.323474179070768
m1_val_mlp_100_alpha_logistic_activation_hidden_layers_10,922.9999361038208,0.72681894967255289,0.14001059917371009,0.85773990447242721,27.177470540737286,57.50304058213036,26.768050598625379
m1_val_mlp_1000_alpha_logistic_activation_hidden_layers_10,1049.624253988266,0.76691450698612262,0.093473536024194476,0.86425314806773779,27.050202666355034,53.376719059166291,26.468850275688904
m1_val_mlp_10000_alpha_logistic_activation_hidden_layers_10,1699.7758059501648,0.78878160707594025,0.058186627241462903,0.86457881024750327,44.561678169652275,57.83364835692656,43.62325815501714
m1_val_mlp_100000_alpha_logistic_activation_hidden_layers_10,1701.6744470596313,0.78929701580428135,0.058100344425117904,0.86550151975683887,51.750392804218251,58.89662049025528,50.843961324252611
m1_val_mlp_1000000_alpha_logistic_activation_hidden_layers_10,1703.7929990291595,0.69741953616188557,0.18795650498176183,0.85600303951367784,52.635206415848181,59.051733963607695,51.788182462178753
m1_val_mlp_10000000_alpha_logistic_activation_hidden_layers_10,1702.5096139907837,0.24084324198930518,0.60452506083689783,0.75124837168910119,52.68038760898191,58.985920107980249,51.792245943844733
m1_val_mlp_1e-08_alpha_relu_activation_hidden_layers_10,883.0827970504761,0.76712908713470795,0.075531889893261581,0.85464611376465482,15.290618656238157,63.01078183324929,13.789992727542201
m1_val_mlp_1e-07_alpha_relu_activation_hidden_layers_10,884.0075759887695,0.77299070896210476,0.063844047443539595,0.85822839774207549,15.223972102461003,58.29622576623948,13.778432449149326
m1_val_mlp_1e-06_alpha_relu_activation_hidden_layers_10,885.8973100185394,0.77091301399603873,0.078105807198170091,0.85953104646113765,15.475138408092869,79.551439221201619,13.74072985047944
m1_val_mlp_1e-05_alpha_relu_activation_hidden_layers_10,840.1999299526215,0.78092021127891564,0.053053573602657868,0.85627442466348236,15.158062962206843,56.450550108529427,13.939289568909222
m1_val_mlp_0.0001_alpha_relu_activation_hidden_layers_10,774.2087240219116,0.78975086099726932,0.049386933579732874,0.85660008684324795,14.633228766791735,54.173711805548663,13.29520142709787
m1_val_mlp_0.001_alpha_relu_activation_hidden_layers_10,750.0567348003387,0.7815334673653781,0.057483336630938957,0.86246200607902734,14.725643012295091,46.495811127145615,13.741581563341077
m1_val_mlp_0.01_alpha_relu_activation_hidden_layers_10,751.567045211792,0.77907776634407777,0.059370192773379002,0.85491749891445945,14.985510814446288,51.152500117850337,13.67932676159203
m1_val_mlp_0.1_alpha_relu_activation_hidden_layers_10,734.4778959751129,0.79231452126172563,0.048822361039991581,0.85448328267477203,14.825766876955083,48.548779901889127,14.011546050448871
m1_val_mlp_1_alpha_relu_activation_hidden_layers_10,722.8241500854492,0.78774513885997455,0.052950629223524878,0.86235345201910552,14.449853612380066,43.978763193223656,13.290648489035847
m1_val_mlp_10_alpha_relu_activation_hidden_layers_10,737.4799609184265,0.78621705458633451,0.053026052096480022,0.86126791141988712,14.642554621264333,42.416267390594605,13.717096479472369
m1_val_mlp_100_alpha_relu_activation_hidden_layers_10,732.5180718898773,0.774215139276346,0.06074595097303305,0.8563829787234043,14.771355902336991,52.509712744833692,13.479575350509871
m1_val_mlp_1000_alpha_relu_activation_hidden_layers_10,720.3835759162903,0.78155309631867931,0.058055593876459047,0.86316760746851928,14.836177008624144,50.031434717590606,13.663497460649625
m1_val_mlp_10000_alpha_relu_activation_hidden_layers_10,803.692734003067,0.79836916112991407,0.053074386581651402,0.87152627008250105,14.670661897849968,47.610333906788711,13.884035490775879
m1_val_mlp_100000_alpha_relu_activation_hidden_layers_10,1340.1966428756714,0.8109001659538787,0.053186866107527153,0.88400998697351285,14.965018499859552,53.786855779074223,14.031392177512489
m1_val_mlp_1000000_alpha_relu_activation_hidden_layers_10,1194.1742010116577,0.80780592913353033,0.054017196310770697,0.88091619626574036,15.60762811613102,51.603731963750619,14.71632278877521
m1_val_mlp_10000000_alpha_relu_activation_hidden_layers_10,1307.1635780334473,0.79114838299062018,0.057397559237956766,0.86718410768562748,15.962184250448706,41.754214679320093,15.552151387689586
m1_val_mlp_1e-08_alpha_tanh_activation_hidden_layers_10,1242.3531789779663,-0.608561049018849,0.15647530220950079,-0.76210377768128534,18.351996197961043,47.502810059703101,18.57370127724657
m1_val_mlp_1e-07_alpha_tanh_activation_hidden_layers_10,1244.4960389137268,-0.62723517270504736,0.13856593206663945,-0.76758575770733817,18.584288397323196,48.393656298902201,18.78385204275104
m1_val_mlp_1e-06_alpha_tanh_activation_hidden_layers_10,1142.487323999405,-0.57485456730054241,0.17557835070486622,-0.74435518888406427,18.808296128119288,47.193180554197141,18.391201666164189
m1_val_mlp_1e-05_alpha_tanh_activation_hidden_layers_10,805.9222331047058,-0.084266501704150037,0.20631380794039561,0.048415110725141153,30.355002091622538,75.163858045825961,29.430852379400694
m1_val_mlp_0.0001_alpha_tanh_activation_hidden_layers_10,804.0600681304932,0.18679610870871238,0.16605880541358772,0.29564698219713414,30.348350632042539,68.508487010418548,29.568593179166925
m1_val_mlp_0.001_alpha_tanh_activation_hidden_layers_10,788.8786828517914,0.33765041428987763,0.17695380023295668,0.44170646982197137,30.646276737920491,62.823075551559391,30.053403771557981
m1_val_mlp_0.01_alpha_tanh_activation_hidden_layers_10,793.4917180538177,0.49739306681576745,0.17349692052238133,0.58233825445071652,31.053461965006683,62.614976978117255,30.442919543676723
m1_val_mlp_0.1_alpha_tanh_activation_hidden_layers_10,798.4010050296783,0.58918786692759295,0.20850870446376157,0.74115284411636995,30.660401489108001,64.986812338778563,29.787590394511771
m1_val_mlp_1_alpha_tanh_activation_hidden_layers_10,810.1965661048889,0.64989516354486987,0.22202718513119121,0.84069691706469818,30.213047917514732,69.334129010423126,29.460805693352313
