name,run_time,spearman_avg,spearman_var,spearman_med,mae_avg,mae_var,mae_med
m1_val_rf_20_trees_mse_0.1_max_feat_12_max_depth,373.3518850803375,0.74583628263313473,0.054727552496558134,0.81800911854103342,13.545582877436839,32.373851491519936,12.54468373195072
m1_val_rf_20_trees_mse_0.1_max_feat_14_max_depth,565.2727019786835,0.73503515367091155,0.057061139563063794,0.81241858445505866,13.711651863243304,34.231906604921264,12.91770802197941
m1_val_rf_20_trees_mse_0.1_max_feat_16_max_depth,665.4877290725708,0.73661245903199457,0.05581877029651567,0.81469821971341727,13.65214979232144,34.749032379243637,12.676234714992381
m1_val_rf_20_trees_mse_0.1_max_feat_18_max_depth,672.8172590732574,0.73681276357817949,0.053739586760263913,0.81095310464611381,13.545412558561464,34.53376517135905,12.326877123502173
m1_val_rf_20_trees_mse_0.5_max_feat_None_max_depth,817.9281091690063,0.7469256895413372,0.057553951075147408,0.82397959183673475,13.799361301369869,39.836895294796086,12.509406250000003
m1_val_rf_20_trees_mse_0.5_max_feat_2_max_depth,370.5746259689331,0.74519432663768037,0.061630534280526506,0.82582501085540594,13.744631982025407,32.306833288145704,13.244247396226045
m1_val_rf_20_trees_mse_0.5_max_feat_4_max_depth,403.68145394325256,0.78669469244999035,0.05807337103583813,0.86577290490664349,12.920154383422696,33.067163825791305,12.039004051607384
m1_val_rf_20_trees_mse_0.5_max_feat_6_max_depth,429.69579911231995,0.78616396718990711,0.057509835248481737,0.8630047763786366,12.820177414969184,33.421151903554509,11.956800455644826
m1_val_rf_20_trees_mse_0.5_max_feat_8_max_depth,455.3157241344452,0.7773089299841186,0.056607678197672623,0.84986973512809383,13.018790059083098,35.374531341403241,11.881691046468129
m1_val_rf_20_trees_mse_0.5_max_feat_10_max_depth,481.0668258666992,0.7653226286142556,0.057274644160392095,0.83863438992618322,13.272760082013852,37.160063974495827,12.112132418896671
m1_val_rf_20_trees_mse_0.5_max_feat_12_max_depth,503.23336696624756,0.75951364807071209,0.055902329337518895,0.82864741641337392,13.397910490860175,38.044185251063084,12.078706928510863
m1_val_rf_20_trees_mse_0.5_max_feat_14_max_depth,525.4720709323883,0.75532479969545396,0.057870377227077677,0.83070994355188887,13.480736119669935,38.508627191451033,12.455698476737032
m1_val_rf_20_trees_mse_0.5_max_feat_16_max_depth,545.7271220684052,0.75640558176053863,0.054023993667832795,0.82354537559704732,13.743708251844421,37.257782699882149,12.640053188554468
m1_val_rf_20_trees_mse_0.5_max_feat_18_max_depth,559.3600840568542,0.75730122710698933,0.052386462085955786,0.82946157186278768,13.554161486689006,37.976203198545477,12.441818774801584
m1_val_rf_20_trees_mse_0.8_max_feat_None_max_depth,739.5513260364532,0.74477007357883396,0.055445554518623465,0.81030178028658273,13.939431050228308,39.087881761521963,12.602989583333331
m1_val_rf_20_trees_mse_0.8_max_feat_2_max_depth,392.49525022506714,0.71234125827538797,0.066670364266489118,0.79716673903603996,13.854460326660108,36.029335177578915,12.747937131917247
m1_val_rf_20_trees_mse_0.8_max_feat_4_max_depth,442.4811818599701,0.78248056436214852,0.05727980100755569,0.86246200607902734,13.030846898375808,35.153800254413525,12.165881533491286
m1_val_rf_20_trees_mse_0.8_max_feat_6_max_depth,489.9601128101349,0.7838905775075985,0.058625606199449495,0.86414459400781585,13.036085911328126,36.566171420052548,11.872023741341744
m1_val_rf_20_trees_mse_0.8_max_feat_8_max_depth,533.2389938831329,0.7739047936283231,0.058897543125622051,0.85318063395570998,13.281508069923568,40.29046616561179,12.072185595942322
m1_val_rf_20_trees_mse_0.8_max_feat_10_max_depth,577.9671549797058,0.76403946014430246,0.05707883911302309,0.83700607902735569,13.425966863368224,37.190803824291983,12.259944577122434
m1_val_rf_20_trees_mse_0.8_max_feat_12_max_depth,616.9732620716095,0.75868655535662211,0.053815995556144434,0.82875597047329563,13.620881597912756,40.095404136119278,12.476161327283902
m1_val_rf_20_trees_mse_0.8_max_feat_14_max_depth,649.0182819366455,0.75141343334185884,0.057854185567775183,0.82376248371689098,13.81755496134978,40.802314704374744,12.572632403619814
m1_val_rf_20_trees_mse_0.8_max_feat_16_max_depth,680.9606399536133,0.74554541723422119,0.057635486721196914,0.82338254450716453,13.812261132493186,38.218222083884257,12.695700383099682
m1_val_rf_20_trees_mse_0.8_max_feat_18_max_depth,705.782977104187,0.7480542056519488,0.053822354809936974,0.82083152409900129,14.04471993571968,40.154419338817064,12.993749700383299
m1_val_rf_40_trees_mse_auto_max_feat_None_max_depth,1352.3453550338745,0.75087333971770076,0.058628615412601684,0.8268019973947025,13.915086501141559,41.1587950570865,12.953104166666661
m1_val_rf_40_trees_mse_auto_max_feat_2_max_depth,492.43483686447144,0.67125577715784646,0.069565176409756582,0.75325662179765529,14.216126390151087,38.428405958115214,13.099188530234663
m1_val_rf_40_trees_mse_auto_max_feat_4_max_depth,616.9205801486969,0.77534276316180795,0.057958747859508115,0.85936821537125485,13.170777754314148,36.19817241594653,12.109892611057814
m1_val_rf_40_trees_mse_auto_max_feat_6_max_depth,729.760167837143,0.77876266216192125,0.059902501879226279,0.85985670864090313,13.140370911493047,36.006014521368471,12.028557445200745
m1_val_rf_40_trees_mse_auto_max_feat_8_max_depth,838.7030010223389,0.77439551746084578,0.057507520473573423,0.84927268779852372,13.215141316806173,37.212152342756916,11.858944161024032
m1_val_rf_40_trees_mse_auto_max_feat_10_max_depth,944.2453360557556,0.76748835646179214,0.060237475890106348,0.84286799826313508,13.326964148760576,38.7932469752459,12.10845260160252
m1_val_rf_40_trees_mse_auto_max_feat_12_max_depth,1409.6121261119843,0.75797723636233871,0.060223761868286423,0.83217542336083372,13.657320796496103,41.395792196350897,12.351822199062335
m1_val_rf_40_trees_mse_auto_max_feat_14_max_depth,1414.8846690654755,0.75609657445023992,0.058209818595266305,0.832663916630482,13.741198133680092,42.520808278474419,12.510687621424488
m1_val_rf_40_trees_mse_auto_max_feat_16_max_depth,1206.181888103485,0.75236365312665443,0.0588425646853852,0.83141554494138081,13.771578964687127,40.117229189123563,12.59637439503272
m1_val_rf_40_trees_mse_auto_max_feat_18_max_depth,1263.1258199214935,0.7520904835265495,0.05811354227881068,0.82647633521493702,13.769321440862628,39.475574029238949,12.618736772622308
