ml_name,forecasted_price,actual_price,optimal_price,regret_rank,regret,spearman_rank,spearman,w_spearman_max_rank,w_spearman_max,w_spearman_min_rank,w_spearman_min,w_mae_max_rank,w_mae_max,w_mae_min_rank,w_mae_min,w_spearman_exp_rank,w_spearman_exp,w_spearman_o2_rank,w_spearman_o2,mae_rank,mae,w_spearman_o3_rank,w_spearman_o3,w_spearman_o1_rank,w_spearman_o1,w_mae_exp_rank,w_mae_exp,w_mae_o2_rank,w_mae_o2,w_mae_o1_rank,w_mae_o1,mse_rank,mse,w_mae_o3_rank,w_mae_o3
lin_svr_c1e3_basic_feat_30_days,2972597.4099368104,2928900.3657145244,2866350.9531697268,11,62549.41254479464,13,0.7738640061928914,13,0.9952976957641839,10,0.9952850037146667,43,0.4705250505496314,43,0.4921934260932116,11,0.9952937795940069,13,0.99529932137272,43,21.93164431799234,11,0.9953018308552535,13,0.9953008948311965,43,0.4839655900245104,43,0.45953862093418063,43,0.4656465613636754,42,1401.7038521851698,43,0.47777591125536567
bay_reg_basic_feat_30_days,2930500.9610011233,2928920.5133736786,2866350.9531697268,12,62569.56020395315,9,0.7781589231437289,10,0.995349316978878,11,0.9952769906762899,6,0.3333334116335876,5,0.35077763793458616,10,0.9953097401610848,10,0.9953792704139883,6,15.433767006401686,10,0.9953329913709213,10,0.9953642886482507,5,0.3444765049668501,6,0.32417300557183626,6,0.329387520441482,4,741.0944676170435,5,0.33978965170587433
lin_svr_c1e3_basic_feat_90_days,2940037.7184315785,2929220.9245369444,2866350.9531697268,13,62869.97136722116,12,0.7750832955907915,12,0.995305513265952,12,0.9952699667434178,42,0.469100595150822,41,0.4892003774210064,12,0.9952890118480965,12,0.9953164720091713,42,21.868435128465457,12,0.9953017393242591,12,0.9953120488083124,42,0.4818538126447297,42,0.45874420485709766,42,0.46463976279737773,41,1350.0842917598109,42,0.47642817345070715
mlp_basic_feat_90_days,2950494.626538518,2929552.728530623,2866350.9531697268,14,63201.77536090013,16,0.7705394053361866,16,0.9951818170064594,16,0.9950980303542488,8,0.3425475963092709,8,0.3592160975033476,16,0.9951350500631427,16,0.9952189497561661,8,15.898759623947763,16,0.9951593649801318,15,0.9951990163358335,8,0.35290632339307965,8,0.33405091852858876,8,0.3388382973782715,10,765.8200496706875,8,0.3484472799323439
lin_svr_c1e3_basic_feat_300_days,2944148.106086384,2930594.0085965134,2866350.9531697268,15,64243.05542679072,14,0.7718750238988888,14,0.9952316679712352,15,0.9951873774875877,41,0.4664861478962858,42,0.4899469158344278,15,0.9952091725513648,14,0.99525025196886,41,21.70465113207383,14,0.9952212213693906,14,0.99524035866935,41,0.48051240348746393,40,0.4550834301400491,41,0.4613481005745773,40,1283.3729846720046,41,0.47387993430229997
mlp_all_feat_90_days,2924518.8198380866,2931602.3778378293,2866350.9531697268,16,65251.42466810174,19,0.7678595008807538,15,0.9951942340515672,13,0.9952607810456569,11,0.3506333599954064,10,0.36709378583437974,14,0.9952175006923595,19,0.995173693787496,11,16.256438926463154,15,0.9951977953333621,17,0.9951820483511674,11,0.361394832030341,11,0.34181369065197054,11,0.34689915970190516,8,762.3549656760679,11,0.35705861886867163
mlp_few_feat_300_days,2985989.9392533987,2934072.051636808,2866350.9531697268,17,67721.09846708417,21,0.7630340923478531,21,0.9950227232115136,24,0.9949530562545139,29,0.38371673569272,28,0.3996636872052704,22,0.994973057783242,21,0.99506328641016,29,17.88587030671429,21,0.9949940043221268,21,0.9950402046200226,29,0.3934161896423001,29,0.37573087895981033,29,0.38014299714347394,29,924.571043719203,29,0.3889903168643956
lin_svr_c1e3_few_feat_300_days,2948463.6639290433,2934158.028549955,2866350.9531697268,18,67807.07538023472,22,0.7617105400681322,22,0.9950077542266536,22,0.9949739716964798,46,0.509506547173297,46,0.5333929368087594,21,0.994973850690855,22,0.995035104053808,46,23.74416752735654,22,0.9949828328758435,22,0.9950182173343739,46,0.5235879549998419,46,0.498049605704428,46,0.5043142923114762,44,1565.0353314747856,46,0.5168224411225276
lin_svr_c1e3_few_feat_30_days,2915129.150035108,2934644.102301114,2866350.9531697268,19,68293.14913138917,25,0.7560678957847042,24,0.9949388432180788,21,0.9949805659283082,44,0.49992548135051385,44,0.5219063264888438,24,0.9949618846934531,25,0.9949178589111871,44,23.284074993390117,23,0.9949547451644682,25,0.9949312959171802,44,0.5131588504836044,44,0.4890400107853103,44,0.49500341173516793,43,1515.9942109323556,44,0.5069697237950347
bay_reg_few_feat_300_days,2923159.2549200905,2934676.611956121,2866350.9531697268,20,68325.65878639906,18,0.7686864661341032,18,0.9951335418308772,18,0.9950290656654427,26,0.377508754047823,26,0.39687081412484443,18,0.9950717020168796,17,0.9951830748109012,26,17.53002647589976,18,0.9951071409888886,18,0.9951578289140648,25,0.38883583904628677,26,0.36823699437903845,26,0.37323241860057443,26,900.0427438005993,25,0.38323958272082215
lin_svr_c1e3_few_feat_90_days,2915750.918131258,2934758.409658337,2866350.9531697268,21,68407.45648861046,24,0.7567400387310701,23,0.9949412866348802,20,0.9949872901301023,45,0.5067161690730142,45,0.529316063516511,23,0.9949621883451576,24,0.994922550811614,45,23.60364883300904,24,0.9949486616730352,24,0.9949320656739931,45,0.5207464076592655,45,0.49513287399901346,45,0.5014177040224336,45,1572.6699109411659,45,0.514020447597141
bay_reg_few_feat_90_days,2905097.905596179,2934761.6568324845,2866350.9531697268,22,68410.70366275913,17,0.7686888454011751,19,0.9951254398608019,19,0.9950060275127065,27,0.38015105660069376,29,0.40005152529603977,19,0.9950575817770416,18,0.995179585860018,27,17.61968424577784,19,0.9950983078973822,19,0.9951526954192136,27,0.39204373276574805,27,0.370416527565858,27,0.3757378944816102,27,900.6929061222714,27,0.3864205912411028
bay_reg_few_feat_30_days,2934777.333035256,2934863.595861801,2866350.9531697268,23,68512.64269207424,15,0.7708480302642747,17,0.9951707401935116,17,0.9950552854962039,21,0.373444982585764,23,0.3930599215516255,17,0.995102931978585,15,0.9952249469356013,21,17.303929549480007,17,0.9951437164622687,16,0.9951980105866005,22,0.38546178240932,21,0.36358746153137633,21,0.36906201987806403,16,870.5343981016229,21,0.3799782475256055
mlp_few_feat_90_days,2983862.0175410407,2935693.1296692113,2866350.9531697268,24,69342.176499491,20,0.7642099176348739,20,0.9950533269817897,23,0.9949702421408889,28,0.3832548221801158,27,0.3988799681502346,20,0.9950088417584309,20,0.9950889392929967,28,17.864319092513533,20,0.9950408710392848,20,0.9950727991122292,28,0.3929081849205589,28,0.3753442801570999,28,0.37980823350624626,30,930.7761621676509,28,0.38878773150795676
mlp_basic_feat_30_days,2982135.2806367804,2937017.5063980063,2866350.9531697268,25,70666.5532282777,23,0.7583754874310973,25,0.9949387160941723,26,0.9948672965268075,15,0.3650016293613884,15,0.38048447980158456,25,0.9949001015394615,23,0.9949659181105512,17,17.01052480177426,25,0.9949223560534562,23,0.9949520210294099,15,0.3748514938644393,16,0.35691640804675234,15,0.36152434700392716,12,843.9586621743802,15,0.37073305197862216
random_forest_all_feat_300_days,3000925.87191174,2938971.0191080472,2866350.9531697268,26,72620.06593831697,28,0.7215372741926872,28,0.9942185700539421,29,0.994253446932299,12,0.3606727458944425,12,0.37855267869602954,28,0.9942399842345419,28,0.9941995780081738,12,16.627603008806283,28,0.9942268100184835,28,0.9942082069578911,12,0.3729459614202959,12,0.3504359295949304,13,0.35649465332504393,11,837.1369306707206,13,0.3685516401881647
