ml_name,forecasted_price,actual_price,optimal_price,regret_rank,regret,spearman_rank,spearman,w_spearman_max_rank,w_spearman_max,w_spearman_min_rank,w_spearman_min,w_mae_max_rank,w_mae_max,w_mae_min_rank,w_mae_min,w_spearman_exp_rank,w_spearman_exp,w_spearman_o2_rank,w_spearman_o2,mae_rank,mae,w_spearman_o3_rank,w_spearman_o3,w_spearman_o1_rank,w_spearman_o1,w_mae_exp_rank,w_mae_exp,w_mae_o2_rank,w_mae_o2,w_mae_o1_rank,w_mae_o1,mse_rank,mse,w_mae_o3_rank,w_mae_o3
m1_best_regret,2938519.019868556,2922517.143922918,2866350.1867359895,1,56166.957186927524,2,0.7990072508163871,2,0.9958415610804913,2,0.9959025235081387,6,0.3321342671542863,6,0.3497649412674046,2,0.9958642932774101,2,0.9958217951274023,6,15.335774603217498,2,0.9958438665220029,2,0.9958293652695048,6,0.34368724780945376,6,0.3226753994638182,6,0.3281638111344235,5,724.958852819275,6,0.3391073993377296
m1_best_spearman,2976179.7500747824,2923030.6879393724,2866350.1867359895,2,56680.50120338558,1,0.800033904555702,1,0.9958660563336472,1,0.9959285504293663,7,0.33295268467959854,7,0.3504687100365959,1,0.995894088567289,1,0.9958419889577796,7,15.387724171609024,1,0.9958733202362494,1,0.9958525926992495,7,0.34439376979560776,7,0.32358941675941394,7,0.32901131734282374,6,734.9158382128508,7,0.3398448868780629
val_second_mae,2985785.8236377193,2924697.5246557905,2866350.1867359895,3,58347.337919804224,3,0.7863936939225866,3,0.9955694546278345,3,0.9956163147263428,1,0.3197388149657402,1,0.3346788424965271,3,0.9955870039578348,3,0.9955547744645126,1,14.803048629180251,3,0.9955692791655152,3,0.9955599746638142,1,0.3296432723753597,1,0.3115919775654448,1,0.31633405930579545,1,680.3540440096085,1,0.32582012066410354
val_best_mae,2984325.2367226626,2924779.7977806902,2866350.1867359895,4,58429.61104469662,6,0.780877384471713,6,0.995448535559285,6,0.995473121239853,2,0.3211770762787169,2,0.3362546756376116,6,0.995458839538659,6,0.9954401163495321,2,14.865529728459213,6,0.9954512045982412,6,0.9954440271274626,2,0.3311794388148148,2,0.31293592945866955,2,0.3177291537683298,2,684.6102059986322,2,0.32732171535148047
val_second_spearman,2969666.6646689884,2926551.0953277857,2866350.1867359895,5,60200.90859180045,4,0.7839711964229429,4,0.9955142690418458,4,0.9955495494893153,3,0.3226980361880435,3,0.33815310398698994,4,0.9955235816192984,4,0.9955053730028827,3,14.928687162944826,4,0.995506884846599,4,0.9955064639063946,3,0.33300856734860523,3,0.31421204188894847,3,0.3192074096151542,3,696.7634174407663,3,0.3291751608035753
val_best_spearman,2969343.6322077587,2926579.943756053,2866350.1867359895,6,60229.75702005865,5,0.783648678274658,5,0.9955090596117911,5,0.9955394534181355,4,0.322930956482165,4,0.33841692309093135,5,0.99551922227286,5,0.9954997325180757,4,14.939873168486756,5,0.995503899666805,5,0.9955015147714652,4,0.3332566301918789,4,0.31443655667933024,4,0.31943612457232734,4,697.168027078504,4,0.3294130062831716
m1_best_mae,2924751.689539548,2928475.193789329,2866350.1867359895,7,62125.007053346395,7,0.7801539385792244,7,0.9953854014410464,7,0.9952995745875979,5,0.32977615096286267,5,0.3479298980733278,7,0.9953394471124805,7,0.9954221032281988,5,15.254538234070488,7,0.9953661654156767,7,0.9954034092747124,5,0.34119187763654846,5,0.3204036005011118,5,0.3256838492164705,7,746.8884676045095,5,0.33622907793079815
base_line,2808752.5021173786,2943471.0291662,2866350.1867359895,8,77120.84243021517,8,0.7456434132965306,8,0.9947832716747114,8,0.9948924156229684,8,0.3465096549729288,8,0.3681956375848064,8,0.9948552789632322,8,0.9947240094170126,8,15.917847031963445,8,0.9948193630640897,8,0.9947559269819659,8,0.3609028409753923,8,0.33461830053964403,8,0.3415192113399811,8,933.352866152965,8,0.3553280884061575
